id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
1528,Xingyu Ren,"Ren, Xingyu",1,2015,2015:Merit,2015:146.5,2015:0.5334394904
1530,Haonan Shi,"Shi, Haonan",1,2015,2015:Bronze,2015:70.5,2015:0.775477707
1531,Kairui Shi,"Shi, Kairui",1,2016,2016:Merit,2016:161,2016:0.4390243902
1533,Yijie Shi,"Shi, Yijie",1,2014,2014:Merit,2014:190.5,2014:0.3933121019
1535,Xianda Song,"Song, Xianda",1,2015,2015:Merit,2015:174,2015:0.4458598726
1538,Yongheng Sun,"Sun, Yongheng",1,2022,2022:Gold,2022:13.5,2022:0.9474708171
1539,Zebin Sun,"Sun, Zebin",1,2015,2015:Silver,2015:41,2015:0.8694267516
1541,Zhaoyan Sun,"Sun, Zhaoyan",1,2014,2014:Gold,2014:4,2014:0.9872611465
1542,Shaoxuan Tan,"Tan, Shaoxuan",1,2013,2013:Silver,2013:30,2013:0.8979591837
1543,Yingjie Tan,"Tan, Yingjie",1,2014,2014:Gold,2014:1.5,2014:0.9952229299
1544,Zhengxuan Tan,"Tan, Zhengxuan",1,2018,2018:Bronze,2018:92,2018:0.6923076923
1546,Bowen Tian,"Tian, Bowen",1,2018,2018:Silver,2018:31,2018:0.8963210702
1547,Yubo Tong,"Tong, Yubo",1,2015,2015:Bronze,2015:82,2015:0.7388535032
1549,Chaoyang Wang,"Wang, Chaoyang",1,2014,2014:Silver,2014:33.5,2014:0.8933121019
1550,Cheng Wang,"Wang, Cheng",1,2016,2016:Merit,2016:127.5,2016:0.5557491289
1553,Huijia Wang,"Wang, Huijia",1,2015,2015:Bronze,2015:122.5,2015:0.6098726115
1566,Zhiying Wang,"Wang, Zhiying",1,2013,2013:Silver,2013:30,2013:0.8979591837
1567,Zixuan Wang,"Wang, Zixuan",1,2019,2019:Silver,2019:33,2019:0.8601694915
1568,Jiayu Wei,"Wei, Jiayu",1,2019,2019:Silver,2019:24,2019:0.8983050847
1569,Xin Wei,"Wei, Xin",2,2013;2014,2013:Gold;2014:Gold,2013:3.5;2014:4,2013:0.9880952381;2014:0.9872611465
1573,Qingyu Wu,"Wu, Qingyu",1,2014,2014:Gold,2014:8.5,2014:0.9729299363
1574,Xiao Wu,"Wu, Xiao",1,2023,2023:Bronze,2023:96,2023:0.6971608833
1575,Wenjie Xia,"Xia, Wenjie",1,2022,2022:Gold,2022:9.5,2022:0.9630350195
1576,Chengye Xiang,"Xiang, Chengye",1,2015,2015:Bronze,2015:97.5,2015:0.6894904459
1580,Zhihao Xiao,"Xiao, Zhihao",1,2013,2013:Merit,2013:190,2013:0.3537414966
1581,Fangting Xie,"Xie, Fangting",1,2013,2013:Silver,2013:53,2013:0.8197278912
1583,Yang Xu,"Xu, Yang",1,2014,2014:Silver,2014:33.5,2014:0.8933121019
1586,Ziang Xu,"Xu, Ziang",1,2016,2016:Bronze,2016:91.5,2016:0.681184669
1587,Zhen Xuan,"Xuan, Zhen",1,2015,2015:Bronze,2015:75,2015:0.7611464968
