id,name_clean,name_first_last,EMIC_freq,EMIC_years,IWYMIC_freq,IWYMIC_years,APMO_freq,APMO_years,IMO_freq,IMO_years
1627,Yangrong Zhao,"Zhao, Yangrong",0,,1,2013,0,,0,
1628,Yiting Zhao,"Zhao, Yiting",1,2016,0,,0,,0,
1629,Yukun Zhao,"Zhao, Yukun",0,,1,2016,0,,0,
1630,Zijian Zhong,"Zhong, Zijian",0,,1,2013,0,,0,
1631,Hang Zhou,"Zhou, Hang",1,2016,0,,0,,0,
1632,Lechen Zhou,"Zhou, Lechen",0,,1,2023,0,,0,
1633,Siqi Zhou,"Zhou, Siqi",1,2015,0,,0,,0,
1634,Tiancheng Zhou,"Zhou, Tiancheng",0,,1,2015,0,,0,
1635,Xuanzhu Zhou,"Zhou, Xuanzhu",1,2023,0,,0,,0,
1636,Junze Zhu,"Zhu, Junze",0,,1,2015,0,,0,
1637,Tianming Zhu,"Zhu, Tianming",1,2014,0,,0,,0,
1638,Xuanyi Zhu,"Zhu, Xuanyi",1,2014,0,,0,,0,
1639,Yingqi Zhu,"Zhu, Yingqi",0,,1,2016,0,,0,
1640,Yuejia Zhu,"Zhu, Yuejia",1,2014,0,,0,,0,
1641,Yuxuan Zhu,"Zhu, Yuxuan",0,,1,2023,0,,0,
1642,Zhiyi Zhu,"Zhu, Zhiyi",0,,1,2014,0,,0,
1643,Zifan Zhu,"Zhu, Zifan",1,2018,0,,0,,0,
1644,Zihao Zhu,"Zhu, Zihao",1,2019,1,2021,0,,0,
1645,Yuxuan Zhuo,"Zhuo, Yuxuan",1,2023,0,,0,,0,
1646,Junhao Zou,"Zou, Junhao",0,,1,2015,0,,0,
1647,Xinqi Zou,"Zou, Xinqi",0,,1,2015,0,,0,
